Zaman damgası,Film İsmi,Film Hakkında,Film İsmi (örnek),Film Hakkında (örnek),Film İsmi (örnek)
08.08.2022 22:11:32,Bay Hiçkimse,9 yaşındaki bir çocuğun yaptığı bir seçimle yaşayabileceği farklı hayatları konu alan Jared Leto'nun oynadığı film.,,,
08.08.2022 22:11:58,Terminatör,hedefini öldürmek üzere gelecekten gelen bir cyborg'un saldırısını konu alan bir aksiyon filmi,,,
08.08.2022 22:12:24,Yıldızlararası,Uzay yolculuğu ve karadeliklerle ilgili Nolan filmi,,,
08.08.2022 22:17:54,Ucuz Roman,"Quentin Tarantino'nun doğrusal olmayan bir zaman akışı tekniği kullanarak yönettiği, 2 gangsterin maceralarını konu alan suç ve gerilim filmidir.",,,
08.08.2022 22:20:47,Schindler'in Listesi,Nazi Almanyası altında zulüm gören insanları kurtarmaya çalışan parti üyesi Oscar Schindler'i konu almaktadır.,,,
08.08.2022 22:21:16,Cazcı Kardeşler,Jake Blues ve kardeşi Elwood Blues'un yetiştirildikleri kiliseyi kurtarmak için giriştikleri serüveni anlatan film,,,
08.08.2022 22:25:12,Kapıdaki Düşman,2. Dünya Savaşı Doğu Cephesi'nde bir Alman ve bir Sovyet keskin nişancının aylarca süren düellolarını konu almaktadır.,,,
08.08.2022 22:27:11,Torontolu Adam,Gizli bir görev sebebiyle profesyonel bir seri katilin yerine geçmek zorunda kalan sıradan bir adamın maceralarını konu almaktadır.,,,
08.08.2022 22:27:22,Harry potter ve Felsefe Taşı ,Büyücü olduğunu yeni öğrenen bir çocuğun sihirli bir dünyada ilk okul yılını ve maceralarını anlatan film,,,
08.08.2022 22:28:27,Enkanto: Sihirli Dünya,Sihirli bir ailenin sihirli olan evinin yıkılması ve sihirsiz olduğuna inanılan aile üyesinin tüm aileyi biraraya getirmeyi başararak evi yeniden inşaları,,,
08.08.2022 22:28:40,Special Correspondents,Ekvador'daki savaşa bir sebepten ötürü son anda gidemeyen 2 radyocunun alternatif bir çözüm üretmelerini konu almaktadır.,,,
08.08.2022 22:29:17,Kayıp Balık Nemo,Maceralara atılmak isteyen bir baliğin kaybolmasını ve bu süreçte yaşadığı maceraları anlatan animasyon filmi ,,,
08.08.2022 22:30:25,İnanılmaz Aile,Her biri farklı süper güçlere sahip olan aile bireylerinin normal yaşama ayak uyduramayışı ve kahramanlık yaparken yaşadıklarını anlatan animasyon filmi ,,,
08.08.2022 22:30:41,Yalanın İcadı,"Hiç kimsenin yalan söylemediği alternatif bir dünyada, bir adamın (Ricky Gervais) ""yalan"" diye bir şeyin olduğunu keşfedişi anlatıyor.",,,
08.08.2022 22:31:21,Aynı Yıldızın Altında,İki kanser hastası gencin yaşadığı aşkı anlatan gençlik filmi,,,
08.08.2022 22:34:17,Merkezi İstihbarat,Lisede büyük zorbalıklara maruz kalan birinin yıllar sonra bambaşka bir rolde eski dostunun karşısına çıkması anlatılıyor.,,,
08.08.2022 22:36:42,Zindan Adası,"Sabıkalı akıl hastalarının kaldığı bir hastanede bir hastanın ortadan kaybolmasını araştıran polis şefinin dehşet verici düşleri, soruşturmayı karmaşık hale getirir.",,,
08.08.2022 22:37:34,Evet Adam,"Hollywood'un en sevilen komedyenlerinden, mimik ustası, mizah şahikası Jim Carrey'in her zamanki gibi üst seviyede bir performans sergilediği ""Bay Evet"", her şeye hayır demeye alışmış Carl Allen’ın komik hikayesi üzerine kurulu, sevimli bir film.",,,
08.08.2022 22:40:06,Ölümlü Dünya,Yaşanan bir aksilik kimliklerini ifşa edip patronlarını öfkelendirince hem kiralık katillik hem de restoran işletmeciliği yapan bir ailenin başı büyük belaya girer.,,,
08.08.2022 22:40:47,Arif V 216,"Uzayda 1960'lara doğru yol alan Arif, insan olma hayali kuran robot arkadaşını ve dünyayı karanlık bir gelecekten kurtarmalıdır.",,,
08.08.2022 22:51:50,Akıl Defteri,Unutkanlık hastalığına yakalanan bir adamın eşinin intikamını almaya çalışmasını konu alan bir Nolan filmi.,,,
08.08.2022 23:04:14,Yedi,"Brad Pitt ve Morgan Freeman'lı, yedi büyük günaha göndermelerle cinayet işleyen bir seri katil ve bunu çözmeye çalışan iki dedektifi anlatan film. ",,,
08.08.2022 23:17:19,Harry Potter ve Felsefe Taşı,"Kitaptan uyarlama olarak çekilen film, büyücü olduğunu büyücülük ve cadılık okuluna aldığı davet ile öğrenen bir çocuğun büyülü evrende geçen maceralarını konu almaktadır.",,,
09.08.2022 16:17:01,Another Round,Lise öğretmenini canlandıran Mads Mikkelsen'ın final sahnesinde dans ettiği film. ,,,
09.08.2022 16:18:22,İkimizin Yerine,"Başrolünde Serenay Sarıkaya ve Nejat İşler'in yer aldığı, edebiyat hocasıyla gizli aşk yaşayan bir öğrencinin karşılaştığı olayları konu alan film.",,,
10.08.2022 12:51:59,Siyah Kuğu,Natalie Portman'ın başrolde oynadığı New York'ta yaşayan bir balerinin Kuğu Gölü balesinin baş dansçısı olma hırsını anlatan gerilim filmi,,,
10.08.2022 18:56:35,12 Maymun,Gelecekten gelen bir adamın bir virüsü yayılmadan önce durdurmaya çalıştığı Brad Pitt ve Bruce Willis filmi,,,
10.08.2022 19:09:54,Enigma,Benedict Cumberbatch'in Alan Turing'i oynadığı 2. dünya savaşında nazilerin şifrelerini kırmak amacıyla üretilen ilk bilgisayarın yapımını konu alan film,,,
10.08.2022 19:13:08,Prestij,İki sihirbazın rekabetini konu alan Hugh Jackman ve Christian bale in oynadığı Nolan filmi,,,
10.08.2022 19:32:16,Lucy,Lucy'nin özel bir madde sayesinde beyin kapasitesinin gittikçe artması ve %100'e ulaşmasını konu alan film,,,
10.08.2022 20:59:53,Kara Şövalye,"Christopher Nolan tarafından yönetilen, Batman ve Joker arasındaki mücadeleyi gördüğümüz bir süper kahraman filmi",,,
10.08.2022 22:28:03,Muhteşem Showman,Başrolü Hugh Jackman olan bir müzikal drama filmi,,,
11.08.2022 00:35:52,Kayıp Kız,Ben Affleck'in başrolde yer aldığı karısının aniden ortadan kaybolmasından sorumlu tutulan bir adamın hikayesini anlatan film,,,
11.08.2022 13:42:53,Arabalar,Şimşek McQueen'in bir kaza sonucu küçük bir kasabada başından geçenleri ve yarış serüvenini anlatan animasyon.,,,
11.08.2022 13:46:31,Truman Show,Ana karakterimizin Truman'ın hayatının doğduğundan beri bir dizi şeklinde çekilmesini konu alan film Jim Carrey filmi.,,,
11.08.2022 13:51:32,Dövüş Kulübü,Ana karakterimizin sabun satıcısı Tyler Durden'la tanışıp bir dövüş kulübü açmasını anlatan Brad Pitt filmi.,,,
11.08.2022 14:39:52,Da Vinci Şifresi,İsa’nın kilisenin iddia ettiği gibi tanrısal biri olmadığını ve soyunun devam ettiğini öne sürüyor. Sembol bilimi profesörü Langdon fransız polisiyle çalışıp gizemleri çözümeye çalışıyor,,,
11.08.2022 15:02:24,Her Şeyin Teorisi,Ünlü fizikçi Stephen Hawking’in hayatını anlatan bir film,,,
11.08.2022 19:28:43,Kan Dökülecek,Daniel Day Lewis'in bir petrol zenginini canlandırdığı Paul Thomas Anderson filmi.,,,
11.08.2022 19:30:34,The Rider,Chloe Zhao'nun bir kovboyu anlattığı film,,,
11.08.2022 19:43:18,Batman Başlıyor,Zengin bir ailenin çocuğu olan Bruce Wayne'in Batman olma hikayesinin başlangıcını anlatan Nolan filmi.,,,
11.08.2022 19:45:37,Kız Kardeşler,Emin Alper'in üç tane kız kardeşin köy hayatında yaşadığı zorlukları anlatan film.,,,
11.08.2022 19:48:22,Ahlat Ağacı,Öğretmen adayı olan Sinan'ın aile evine dönüşüyle ilgili Nuri Bilge Ceylan filmi.,,,
11.08.2022 19:51:38,Top Gun: Maverick,Tom Cruise tekrar savaş uçakları yönetme görevine döner fakat bu sefer eğitmendir. Daha deneyimli bir pilot olarak genç pilotları zorlu göreve hazırlar.,,,
11.08.2022 20:00:09,Suikast Treni,Brad Pitt ve diğer suikastçiler kendilerine verilen görevi tamamlamak için bir trene binerler. Fakat birbirlerinden ve bu karmaşadan haberleri yoktur.,,,
11.08.2022 20:25:13,Gora,Uzaylılar tarafından kaçırılan bir dünyalının Gora adlı gezegende yaşadıklarını anlatıyor ,,,
11.08.2022 22:14:27,Shrek,Bir dev ile daha sonra lanet yüzünden bir deve dönüşen bir prensesin maceraları ve bu sırada birbirlerine aşık olmalarını anlatan bir animasyon filmi.,,,
11.08.2022 22:16:53,Yeni Hayat,Bir kargo uçağının ıssız bir adaya düşmesini ve hayatta kalma çabasını anlatan film,,,
11.08.2022 22:20:18,Gurur ve Önyargı,Fakir bir ailenin birkaç kızından biri olan Elizabeth’in ve yan hikayeler olarak kız kardeşlerinin hayatlarını ve evlilik süreçlerini konu alan aşk filmi.,,,
11.08.2022 22:23:07,Joker,"Toplumdan dışlanmış bir karakteri Joaquin Phoenix canlandırmaktadır, farklılıkları yüzünden dışlanan bu karakterin sonunda nasıl delirerek topluma zararlı bir hale geldiğini konu alır.",,,
16.08.2022 21:27:34,Kızıl Tepe,Babası ile yaşayan ve hayaletler gördüğüne inanan edith hayatına giren Sir Thomas aka Tom hiddleston ile yakınlaşır,,,
16.08.2022 21:28:22,Recep İvedik,Recep adlı karakterin maceralarını anlatan türk komedi filmi,,,
16.08.2022 21:33:59,Gora,Uzaylılar tarafından kaçırılan Arif dünyaya Ceku ile dönmek için Komutan Logar'ı yenmek zorundadır,,,
16.08.2022 21:39:29,Kader,Bulunduğu her yere uğursuzluk getiren Uğur karakteriyle hayattaki tek uğuru Uğur olan Bekir’in kavuşamama hikayesini konu edinen bir film.,,,
16.08.2022 21:40:13,Forrest Gump,Zeka seviyesi 75 olan Forrest'ın yaşadığı hayatı anlatan bir film.,,,
16.08.2022 21:55:05,Şeytanın Avukatı,"Film başarılı bir avukat olan Kevin Lomax'in (Keanu Reeves), zengin iş adamı John Milton (Al Pacino) ile tanıştıktan sonra garipleşen hayatını konu alır. Avukat Kevin Lomax, işinde başarılı olmayı o kadar ciddiye alır ki müvekkillerinin suçlu olduğunu bilse dahi onları adaletin elinden kurtarmayı başarır.",,,
16.08.2022 22:04:01,Çığlık,Klasik korku filmi klişelerine değinip bunları işleyen bir korku filmi,,,
16.08.2022 22:18:15,Truman Show,Doğduğundan beri sahte bir hayat yaşayan adamın gerçeği öğrenme yolundaki çabaları ve macerası,,,
17.08.2022 00:19:23,Ölümlü Dünya,Bir aile uluslararası gizli bir örgüt için para karşılığında seri katillik yapmaktadır. Aile bireylerinden biri bu örgüt hakkında dışarıya bilgi sızdırır. Bu aile bireyinin öldürülmemesi için ailecek örgüte karşı gelip kurtulmaya çalışırken yaşanan maceraları anlatan bir komedi filmi,,,
17.08.2022 01:36:07,Ratatuy,İsteyen herkesin yemek yapabileceğini gösteren ve Fransa’da geçen bir animasyon filmi. ,,,
17.08.2022 07:11:47,Titanik,Geminin buz dağına çarpışı ile ilgili film,,,
17.08.2022 07:22:54,Kayıp Kız,Karısının aniden ortadan kaybolmasından sorumlu tutulan bir adamın hikayesini anlatıyor. ,,,
17.08.2022 12:39:56,Soysuzlar Çetesi,"1944'te, Birinci Özel Hizmet Gücü'nden Teğmen Aldo Raine (Brad Pitt), Alman askerlerini öldürerek ve kafa derilerini toparlayarak onları korkutmak için oluşturulmuş bir komando birimi olan Soysuzlar Çetesi'ne Yahudi-Amerikan askerleri toplamış ve askere almıştır.",,,
17.08.2022 13:01:30,Koralin ve Gizli Dünya,"Koralin ve ailesinin yeni evinin tuhaf bir havası vardı. Tuhaflığın sebebi evi saran sis değildi. Gözlerini Koralin’in üzerinden ayırmayan kara kedi de. Çay yapraklarından fal bakan yeni komşuları Bayan Spink ve Bayan Forcible’ın da durumla bir ilgisi yoktu. Sebep diğer evdi: Misafir odasındaki eski kapıdan geçilebilen ev. Bu evdeki düğme gözlü, beyaz tenli diğer annesi ve babası, Koralin’in kendilerine katılmasını ve onlarla birlikte sonsuza kadar orada kalmasını istiyorlardı.",,,
17.08.2022 13:06:46,Ritüel,4 arkadaşın bir proje için Midsommar ayinine gittiği film,,,
17.08.2022 13:50:46,Soul,Tutkularımızın bizi derine sürüklemeden kendimizi keşfetmemize yardımcı olmalarını sağlamamızı öğreten ve en güzel şeyin anda yaşamak olduğunu gösteren önceki hayat şu an ve ölümden sonrasını anlatan bir Disney filmi. ,,,
17.08.2022 16:26:18,Chucky,"Birçok kişinin ölümünden sorumlu olan Charles Lee Ray, polislerden kaçarken bir oyuncakçı dükkanına girer. Çıkan çatışmada yaralanan Charles ölmek üzereyken ruhunu dükkandaki bebeklerden birine aktarır. Chucky adlı bir oyuncak bebekte tekrar canlanan katilin tek bir amacı vardır.",,,
17.08.2022 16:27:17,Kızıl Ejder,"FBI'dan erkenden emekli olan Will Graham (Edward Norton), patronu tarafından bir seri cinayet vakasını çözmesi için yeniden göreve çağrılır. Will, önce görevi kabul etmek istemese de, kurbanların fotoğraflarını görünce fikrini değiştirir. Kurbanlarının vücudunda kendine has bir diş izi bırakan ve gerçek adı Francis Dollarhyde olan bu katil, Kızıl Ejder adını kullanmaktadır. Kısa bir araştırmadan sonra, Graham katilin yeni kurbanının Reba adlı genç bir kadın olacağını öngörür ve onu durdurabilmek için bizzat kendi elleriyle hapse tıktığı, eski düşmanı Dr. Hannibal Lecter'dan (Anthony Hopkins) yardım ister.",,,
17.08.2022 16:28:02,Alacakaranlık,"On yedi yaşındaki Bella Swan annesi Renée evlenince babası Charlie'nin yanında yaşamak üzere küçük bir kasaba olan Forks, Washington'a taşınır. Burada yüz sekiz yaşında bir vampir olup on yedi yaşında görünen gizemli sınıf arkadaşı Edward Cullen ile tanışır ve ona hemen ilk gördüğü anda ilgi duymaya başlar.",,,
17.08.2022 16:29:39,Addams Ailesi,Aşklarını yenileyen Gomez (Raul Julia) ve Morticia’nın (Anjelica Huston) erkek çocuklarının dünyaya gelişiyle Addams malikanesine yeni bir ses gelir. Fester’ın (Cristopher Lloyd) şehvet düşkünü dadı Debbie Jilinsky’nin (Joan Cusack) peşine düşmesiyle Wednesday (Christine Ricci) ve Pugsley (Jimmy Workman) onun aslında kara bir dul olduğunu ve Fester’ı da ölü koca koleksiyonuna eklemek istediğini keşfederler. Fester’ın dadıyla evlenmesi ve ardından da çocukları yaz kampı için evden uzaklaştırmaya çalışmasıyla ailede soğuk rüzgarlar esmeye başlar. Ancak Wednesday henüz son sözünü söylememiştir.,,,
17.08.2022 16:31:23,Genç Çıraklar,"Billy ve Nick bir şirketin pazarlama departmanında çalışan ve dijital dünyanın yeniliklerine ayak uydurmakta zorlanan iki pazarlama elemanıdır. Nihayetinde beklenen olur ve işlerinden kovulurlar. İşsizlik sorunuyla baş etmeye çalışan ikili, bir plan yaparak medya devi Google’ın stajyerlik pozisyonlarına başvuruda bulunurlar. Mülakata ve eğitim programına yoğun bir başvuru olmaktadır ve başvuruda bulunanların küçük bir kısmı, sadece bu konuda çok zeki olanlar kabul edilmektedir. Başvuruda bulunanlarla karşı karşıya gelen ikili, eğitim programındaki herkesin yarı yaşlarındaki gençler olduğunu ve hepsinin alanında uzman olduğunu fark eder. Kendi farklarını ve tecrübelerini kanıtlamaya çalışırlar ve kıyasıya bir rekabet başlar. Dahası Billy ve Nick bu süreçte birbirleriyle de rekabet etmek zorunda kalır.
Komedi türündeki filmin başrollerini Owen Wilson ve Vince Vaughn paylaşırken, yönetmenliğini en son Çelik Yumruklar’a imza atmış olan Shawn Levy üstleniyor.",,,
17.08.2022 16:33:13,Megazeka,"”Megazeka” dünyanın gelmiş geçmiş en zeki ve kötü süper kahramanıdır. Ve en az başarılı olanıdır. Yıllar boyu akla gelebilecek her yolu deneyerek, Metro City’i ele geçirmeye çalışır. Her girişimi, ”Metroman” olarak bilinen pelerinli süper kahraman yüzünden başarısızlıkla suçlanır. Metroman yenilmez bir kahramandır. Bir gün Megazeka’nın beceriksizcikle ortaya koyduğu kötü planlarla mücadele ederken ölür. O andan itibare Megazeka’nın hayatta hiçbir amacı kalmamıştır. Süper kahramansız, bir süper kötü olmanın hiçbir anlamı yoktur. Hayattaki en büyük isteğinin başına gelebilecek en kötü şey olduğunu anlar. Megazeka bu tekdüzelikten kurtulmanın tek yolunun kendine rakip yeni bir kahraman yaratmak olduğuna karar verir. ”Titan” adlı bu yeni kahraman Metroman’den çok daha büyük, çok daha güçlü olacağına söz verir. Ama Titan’ın kötü adam olmanın iyi adam olmaktan çok daha eğlenceli olduğunu düşünmeye başlaması pekte uzun sürmez. Titan dünyayı kurtarmak değil, onu yok etmek ister. Artık Megazeka bir yol ayrımındadır. Kendi yarattığı şeytanı yenebilecek midir?",,,
17.08.2022 21:30:50,Ahlaksız Teklif,Her şeyin bir değeri olduğunu fakat bazı şeylerin paha biçilemeyeceğini anlatan bir film.,,,
17.08.2022 21:35:58,Tenet,İzleyiciyi zamana dair bir karmaşanın ortasına bırakan ve bu bilinmezlikte yüzüp anlamak için en az 2 kez izlenmesi gereken bir Nolan filmi. ,,,
19.08.2022 01:13:13,Büyük Balık,Bir çocuğun babası çocuğuna olağanüstü hikayeler anlatır. Fakat çocuk babası ölene kadar hikayelerine inanmaz.,,,
19.08.2022 01:16:33,Diğerleri,Bir kadın ve 2 çocuğu büyük bir malikanede yaşarlar fakat evde rahatsız edici ve garip olaylar olur.,,,
19.08.2022 01:17:43,Ölü Gelin,"Evlenmek üzere olan bir adam, yanlışıkla ölü bir geline evlenme teklifi ederek ölüler diyarına gider.",,,
19.08.2022 01:18:36,Bir Noel Şarkısı,"Jim Careyin seslendirdiği ana karakter, huysuz ve acımasız biridir. Fakat noel zamanında onu ziyaret eden ruhlar onun kişiliğini değiştirir",,,
19.08.2022 01:20:26,Yağmur Adam,"Charlie, babasinin ölümü üzerine mirastan yararlanacagini düsünerek hayaller kurar. Fakat charlienin otistik fakat dahi bir kardeşi olduğundan haberi yoktur.",,,
