başlık,özet,tür,vizyon_tarihi,oyuncular,yönetmen,resim_link
Baba 2,"Baba 2, 1972 yapımı ilk filmin devamı niteliğinde, yine yazar Mario Puzo ve yönetmen Francis Ford Coppola’nın yaratıcı ellerinden çıkmış usta işi bir yapım. Film, altı adet Oscar ödülü kazanmıştır. Genç Corleone, Amerika’ya yeni gelmiştir. 1917 yılında, New York şehri’nin yerel mafyalarından birinin liderini öldürünce saygınlık kazanır ve korkulan biri haline gelir.Bu arada, 50 yıl sonra, Michael Corleone, Washington’da senato komitesine aile işleriyle ilgili ifade vermektedir.Film,eleştirmenler tarafından önceki filmden daha başarılı bulunan az sayıdaki devam filminden biri olarak kabul ediliyor. Robert De Niro filmde yalnızca 45 dakika Vito Corleone'yi canlandırarak Oscar'ı almıştır.","['Polisiye', 'Dram']",None,"['Roman Coppola', 'Sofia Coppola', 'John Megna']",['Francis Ford Coppola'],https://tr.web.img3.acsta.net/c_310_420/pictures/bzp/01/28201.jpg
Hababam Sınıfı Uyanıyor,"Haylazlığına tam gaz devam eden Hababam Sınıfı, çok sevilen serinin bu filminde de pek farklı davranmıyor. Sınıflarına gelen yeni öğrenci Ahmet, Mahmut Hoca'nın eski bir arkadaşının oğludur. Babasının ölümünden sonra kimsesiz kalan bu genç, eğitim-öğretim hayatında her daim başarılı ve örnek bir öğrenci olmuştur. Şimdi Mahmut Hoca'nın destekleriyle öğrenimini sürdürecek olan Ahmet, liseyi bitirmek için Özel Çamlıca Lisesi'nde okumaya başlayacaktır. Ancak Hababam Sınıfı'na gönderilen Ahmet, sınıftakilerle arkadaş olabilmek için onlar gibi olmaya çalışsa da zamanla bu haylaz sınıfın alaycı ve baskıcı tavırları yüzünden dehşete kapılacaktır.",['Komedi'],7 Kasım 2021,"['Münir Özkul', 'Şener Şen', 'Halit Akçatepe']",['Ertem Eğilmez'],https://tr.web.img2.acsta.net/c_310_420/medias/nmedia/18/80/47/86/19548076.jpg
"İyi, Kötü ve Çirkin","İyi, Kötü ve Çirkin, üç silah arkadaşının maceralarını konu ediyor. Ortak bir hedefe doğru değişik nedenlerle yol almakta olan üç silah arkadaşı aslında kader açısından yolları kesişmiş insanlardır. İsimleri İyi, Kötü ve Çirkin olan bu kişiler için o dönemdeki Amerikan İç Savaşı bir araçtır. İyi ile Çirkin’in risk barındıran ancak iyi para getiren işleri mevcuttur. Çirkin, aranan azılı bir suçlu olduğu için İyi onu adalete teslim edip önce ödülünü alıyor sonra da darağacından riskli bir metot ile kurtarıp bir sonraki işe kadar sağ kalmasını sağlamaktadır. Bir gün gizli bir hazinenin ortaya çıkmasıyla ikilinin araları bozulur. Onlar birbirleriyle didişirken ortaya üçüncü bir hazine avcısı çıkar; o da Kötü adındaki kişidir. Artık her şeyin başka türlü yaşanma zamanıdır...",['Western'],None,"['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef']",['Sergio Leone'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/01/19395.jpg
Hababam Sınıfı Tatilde,"Özel Çamlıca Lisesi’nin paragöz müdürü, cüzdanını düşünerek Çamlıca Lisesi’ne yeni gelen kız öğrencileri kabul etmiştir. Okulun yeni öğrencileri olan bu kızlar da Hababam Sınıfı’na gönderilmişlerdir. Kendi sınıflarında kızların olmasına hiç alışık olmayan Hababam Sınıfı öğrencileri, önce yeni gelen kızlarla yakınlaşmaya çalışacak; ancak bunun mümkün olmadığını görünce de onlarla büyük bir rekabete kapılacaklardır.Kemal Sunal’ın boy gösterdiği son Hababam Sınıfı filmi olan Hababam Sınıfı Tatilde, çekirdek kadrosunu genel anlamda muhafaza eden serinin en kıymetli filmlerinden biri.","['Komedi', 'Dram']",None,"['Münir Özkul', 'Şener Şen', 'Adile Naşit']",['Ertem Eğilmez'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/01/186609.jpg
Sevginin Gücü,"Sevginin Gücü, masum bir kız ve bir katilin hikayesini anlatıyor. Onların birbirlerinden başka kaybedecek hiçbir şeyleri yok. Erkek duygusuzca öldürüyor. Zayıf noktasını sadece 12 yaşındaki bir kız biliyor.12 yaşında New York’ta yaşayan Mathilda, üvey ailesinin yanında sevimsiz bir yaşamı paylaşmaktadır. Babası, iki taraflı oynayan bozulmuş polis için uyuşturucu saklamaktadır. Mathilda’yı kaçıp gitmekten tek alıkoyan küçük erkek kardeşidir. Bir gün, tüm ailesinin katledeildiği zaman alışverişte olan Mathilda şans eseri hayatta kalır ve en çok ihtiyacı olduğu sırada Léon’un dairesine saklanarak kendini kurtarır.","['Polisiye', 'Dram']",None,"['Jean Reno', 'Gary Oldman', 'Natalie Portman']",['Luc Besson'],https://tr.web.img4.acsta.net/c_310_420/medias/nmedia/18/80/20/26/19544797.jpg
Yüzüklerin Efendisi: Yüzük Kardeşliği,"Yüzüklerin Efendisi: Yüzük Kardeşliği, dünyanın kaderini değişterecek olan yüzükten kurtulmak için verilen mücadeleyi konu ediyor. Yıllar önce üretilen ve Orta Dünya topraklarına kandan başka hiçbir şey getirmeyen yüzüklerin sonuncusu, üretiminden yüz yıllar sonra ortaya çıkar. Amcasının kendisine emanet ettiği yüzüğün nelere kadir olduğundan habersiz olan Frodo, büyücü Gandalf'ın anlattıkları sonrasında dehşete kapılır. Bu yüzükten ve müstakbel savaşlardan kurtulmanın tek yolu, gücünü toplamaya çalışan Sauron'u da engellemek için bu yüzüğü yok etmektir. Yüzüğü yok edilebileceği tek yer olan Mordor'a götürmek için kendini feda eden savaşçılardan oluşan bir ekip oluşturulur. Çok uzun ve çetin geçecek olan yolculuk başlar. Orta Dünya'nın kaderi, bu insanların ellerindedir.","['Fantastik', 'Macera']",21 Aralık 2001,"['Elijah Wood', 'Sean Astin', 'Ian McKellen']",['Peter Jackson'],https://tr.web.img2.acsta.net/c_310_420/pictures/bzp/01/27070.jpg
Gladyatör,"Gladyatör'de,İmparator Marcus Aurelius’un hüküm sürdüğü Roma’da bir general olan Maximus imparatorluğun hiyerarşik basamaklarında gitgide yükselmektedir. Babasının kendisini kayırmak yerine Maximus adındaki bu yabancıyı el üstünde tutması da tahtın asıl varisi olan Commodus’u rahatsız etmektedir. Commodus, Maximus ve ailesinin öldürülmesi yönünde emrini çıkarmak için fazla beklemez. Ölümden zor kurtulan Maximus artık bir gladyatör olarak eğitilmek üzere arenaya gönderilir. Maximus’un aklında tek bir istek vardır, Commodus’u öldürmek ve ailesinin intikamını bir an önce almak. Ridley Scott’ın bol ödüllü filmi, gösterildiği sene hem gişedeki büyük başarısıyla hem de aldığı Oscar’larla isminden epeyce söz ettirmişti.","['Aksiyon', 'Macera']",19 Mayıs 2000,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen']",['Ridley Scott'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/01/24944.jpg
Çağrı,"6. yüzyılda Mekke. İslam tarihçilerinin Cahiliye Devri olarak anmaktan hoşlandıkları dönemdeyiz. Şehrin ileri gelenlerinin Mekke’yi köleliğin ve alkol, uyuşturucu gibi maddelerin pençesinde acımasızca yönettiği rivayet ediliyor. Kız çocukların yeni doğduklarında diri diri gömüldüklerinin anlatıldığı acımasız bir dönem. Böyle karanlık bir çağda, Hz. Cebrail tarafından ziyaret edilen Hz. Muhammed insanları tek bir Tanrı’ya tapmaya davet ediyor ve şehre hükmedenlerin vahşi metotlarına karşı çıkıyor.Allah’tan inen bir ayet, peygamberin silaha sarılmasını ve Mekke ordularına karşı direnmesini emrediyor. Müslümanların ordusu tecrübesiz olduğu halde Bedir savaşını kazanıyor. Uhud savaşının ardındansa 10 yıllık bir barışa evet diyerek arada geçen süreyi İslam’ı yaymak için kullanıyorlar. Muhammed’in Allah’ın elçisi olduğu, Allah’tan başka tanrı olmadığı haberi Arap yarımadasını hızla katediyor.","['Biyografik', 'Dram']",15 Nisan 2022,"['Anthony Quinn', 'Irène Papas', 'Michael Ansara']",['Moustapha Akkad'],https://tr.web.img4.acsta.net/c_310_420/pictures/22/03/16/14/34/3489890.jpg
Matrix,"Bir yaşanan gerçek vardır, bir de yaşananın ötesinde olan gerçeklik... Biri rüya, diğeri ise Matrix! Neo,son derece tehlikeli bir adam olan Morpheus’un gerçeği bildiğine inanmaktadır. Bir gece Neo, kendisini başka bir dünyaya götürebilecek güzel yabancı Trinity ile tanışır. Bu kızın götüreceği dünyada, Neo Morpheus’u bulacak ve Matrix hakkında bir şeyler öğrenecektir. Neo, Tam olarak kavrayamadığı şeylerin yaşamını kontrol ettiğini biliyor.. Nedir bu Matrix?","['Aksiyon', 'Bilimkurgu']",3 Eylül 1999,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss']","['Lana Wachowski', 'Lilly Wachowski']",https://tr.web.img3.acsta.net/c_310_420/pictures/210/201/21020166_20130717110427461.jpg
Yüzüklerin Efendisi: İki Kule,"Yüzüklerin Efendisi: İki Kule'de, Yüzük Kardeşliği üyelerinin her birinin, kardeşlik bozulduktan sonra başlarına gelenler anlatılıyor. Kahramanlarımız, gruplar halinde Orta Dünya’nın en tehlikeli yerlerinde maceralar yaşayacaklar, yeni kavimler ve çoktan unutulmuş medeniyetlerle tanışacaklar.Frodo ve Sam, yanlarında zorunlu işbirliği yapacakları eski bir dost(!) olduğu halde Tek Yüzük’ü düşmanın tam kalbine götürmeye çalışırken, diğer hobbitler Urukhai’nin elinden kurtulabilecek mi? Karanlık tarafa geçmiş olan Saruman’ın yaptıkları yanına mı kalacak? Gandalf olmadan kahramanlarımızın başarılı olma şansı ne? Büyük karanlığın gelişi ve Yüzük Savaşı’na dek olanların anlatılacağı İki Kule, kuşkusuz üçlemenin en heyecanlı bölümlerinden birini oluşturuyor.J.R.R. Tolkien’in 3 kitaplık ölümsüz eserinden uyarlanarak bir yılı aşkın süren çekimler sonucu hepsi bir arada çekilen 3 filmden ikincisi olan İki Kule, 2002 Aralık ayında vizyona girmek üzere montajlanıyor ve son rötuşları yapılıyor.","['Fantastik', 'Macera']",20 Aralık 2002,"['Elijah Wood', 'Sean Astin', 'Viggo Mortensen']",['Peter Jackson'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/01/39186.jpg
Dövüş Kulübü,"Dövüş Kulübünün birinci kuralı: Asla Dövüş Kulübü hakkında konuşma... Dövüş Kulübünün ikinci kuralı: Asla ve asla dövüş kulübü hakkında konuşma... Jack, hayatın sıradanlığına kapılmış bir sigorta memurudur. Uzun bir süredir 'insomnia' yani uykusuzluk hastalığından şikayetçidir. Kendi psikolojik sıkıntılarından kurtulabilmek adına grup terapilerine katılmaktadır. Terapiler esnasında Marla adında bir kızla tanışır. Bir süre sonra da hayatını değiştirecek olan Tyler Durden ile... Durden, Jack'in ulaşmak istediği tüm hedeflere ulaşmış olan bir adamdır ve Jack'i asla hakkında konuşulmaması gereken bir organizasyon olan 'Dövüş Kulübü' ile tanıştıracaktır. David Fincher'ın kısa sürede kült mertebesine erişen filminin popülerliği dillere destan. Filmin başrollerinde de Brad Pitt, Edward Norton ve Helena Bonham Carter gibi ünlü simaları görmek mümkün...","['Gerilim', 'Dram']",10 Aralık 1999,"['Brad Pitt', 'Edward Norton', 'Helena Bonham Carter']",['David Fincher'],https://tr.web.img3.acsta.net/c_310_420/pictures/bzp/01/21189.jpg
Züğürt Ağa,"Yeşilçam tarihinin, feodalizmden kapitalizme geçiş sürecini müthiş dokunaklı bir dille beyazperde'ye aktardığı en başarılı yapımlardan biridir Züğürt Ağa. Yer yer, müthiş romantik sekanslar içeren film, seks düşkünü kart dedenin, gerdek gecesi taze gelin Kiraz’ın koynunda ölmesi sonrası gelişen trajikomik olaylar anlatılıyor. Haraptar köyünün Ağası için yaşamı çekilmez kılan olayların başlangıcı bu olurken, kendi köylüleri tarafından dolandırılan Ağa çareyi köyü satılığa çıkarmakta bulur. Gözünü rant hırsı bürümüş siyasilere Haraptar’ı peşkeş çeken Ağa soluğu büyük şehirde alır. Ancak metropol yaşamı, şimdiye dek tanıdığı görkemli yaşantısında edindiği pratiklerle altından kalkılabilecek gibi değildir. Çoğu kez komik ve kimi zaman acıklı denemelerle hayatta kalma savaşı veren Ağa’yı karısı da terkettiğinde yanında sadece Kiraz kalıp ona destek verir. Ağa’nın öğreneceği şeyler vardır... Özellikle Kiraz'ın yıllarca içinde büyüttüğü aşkını ağaya açıldığı an, ağanın Kiraz'a insani yaklaşımı eşsiz sahneler içeriyor. Senaryoyu Yavuz Turgul kaleme aldı ve Nesli Çölgeçen imzalı başyapıt ""Züğürt Ağa"", 70'ler-80’ler sürecine dair tüm unsurları mükemmel yansıtıyor. Tabi ki başrolde Şener Şen'in sahici rolü, gerçekleştirdiği etkileyici performans, bu büyük sanatçının devleşmesine yol açıyor.",['Dramatik komedi'],None,"['Şener Şen', 'Erdal Özyağcılar', 'Nilgün Nazlı']",['Nesli Çölgeçen'],https://tr.web.img3.acsta.net/c_310_420/pictures/bzp/01/14583.jpg
Geleceğe Dönüş 3,"Bir önceki serüvenin sonunda, 1955 yılında kısılıp kalan Marty’yi kurtarmak için Dr. Brown zamanda seyahat eder. Ancak kendisi 1885’e gelip DeLorean bozulduğu ve o zamanın teknolojisi yetmediği için burada takılan Doktor, Marty’ye bir mektup yazarak arabayı gömdüğü yeri söyler.1955’teki Marty bu sayede arabayı bulur ve Doktoru kurtarmaya vahşi batıya gelir. Tabii burada işler umduğu gibi olmaz zira hem iyi doktor çok feci aşık olmuş hem de peşine onu öldürmek isteyen bir kanun kaçağı çetesini takmıştır.Geleceğe Dönüş 2 ile birlikte kotarılmış olan bu son film, teknik kadro ve oyuncularda bir değişiklik gereği olmaksızın üçlemeyi mütevazi bir şekilde bağlıyor. Yine de önceki kardeşlerini, özellikle de 1985’teki klasiği mumla aratıyor.Ç.K.","['Bilimkurgu', 'Macera', 'Komedi']",None,"['Michael J. Fox', 'Christopher Lloyd', 'Thomas F. Wilson']",['Robert Zemeckis'],https://tr.web.img3.acsta.net/c_310_420/medias/nmedia/18/80/43/61/19547639.jpg
Er Ryan’ı Kurtarmak,"Er Ryan’ı Kurtarmak'ta, dört çocuk annesi bir kadı İkinci Dünya Savaşı’nda kaybettiği üç oğlunun ardından fazlasıyla yaralanmıştır. Şimdi tek dileği hayatta kalan tek oğlunun savaştan sağ salim dönmesidir. Yakarışları karşılık bulur ve Başkan tarafından verilen bir emirle James Ryan’ın ne pahasına olursa olsun bu savaştan sağ çıkması sağlanacaktır. Normandiya çıkarmasının yapıldığı gün, sekiz kişilik bir asker birliği farklı bir göreve, Ryan’ı kurtarma görevine atanır. Ancak yüzbaşı John Miller tarafından yönetilen bu birim, can pazarının yaşandığı bu zorlu ortamda hakikatli bir yaşam mücadelesine atılacak; tek bir adamı kurtarmak için sekiz kişinin hayatının tehlikeye atılmasının meşruluğunu sorgulayacaktır.","['Savaş filmi', 'Dram']",11 Eylül 1998,"['Ryan Hurst', 'Tom Hanks', 'Tom Sizemore']",['Steven Spielberg'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/01/18598.jpg
Schindler’in Listesi,"Schindler’in Listesi, Oskar Schindler adlı bir Alman işadamının 2. Dünya Savaşı zamanında Polonya’da kurduğu fabrikada Yahudi işçileri çalıştırması ve bu sayede 1100 Yahudi’nin hayatını kurtarmasını konu alıyor. Gerçek bir hayat hikayesinden uyarlanan film, ünlü yönetmen Steven Spielberg’in en önemli yapıtları arasında sayılan ve ona Oscar kazandıran bir yapımdır. Film, 1994 yılında 12 dalda Oscar’a aday olmuş ve 7 dalda ödül kazanmıştı. Filmin kazandığı Oscar’lar şöyle : En İyi Film, Yönetim, Kurgu, Sanat Yönetimi, Görüntü, Özgün Müzik ve Senaryo Uyarlaması.","['Tarihi', 'Savaş filmi']",None,"['Liam Neeson', 'Ben Kingsley', 'Ralph Fiennes']",['Steven Spielberg'],https://tr.web.img2.acsta.net/c_310_420/pictures/bzp/01/9393.jpg
12 Öfkeli Adam,"12 Öfkeli Adam, cinayetle suçlanan bir genç ile ilgili karar vermekle yükümlü 12 jüri üyesinin karar verme sürecini konu ediyor. Latin Amerikalı bir genç adam, babasını öldürdüğü gerekçesiyle cinayetle suçlanır. Sanığın kaybettiğini söylediği bir bıçak ise cinayetin işlendiği odada bulunmuştur, gencin mahkemeye sunduğu savunma zayıftır ve olan biteni duyduklarını söyleyen pek çok tanık vardır. Sanık suçlu bulunduğu taktirde idama mahkum edilecektir.Jüri sonuçları pek de şaşırtıcı değildir: 12 jüri üyesinden sadece sekiz numaralı jüri üyesi Davis 'suçsuz' hükmü yönünde oy vermiştir. Davis’in jüri üyelerini ikna etmeye çalışması esnasında her jüri üyesinin 'suçlu' kararı vermesinin arkasında ise, aralarında yabancı düşmanlığı, kanuna aşırı güven, çoğunluğa uyma, geçmişle hesaplaşma gibi farklı kişisel sebepler olduğu ortaya çıkacaktır.",['Dram'],None,"['Henry Fonda', 'Martin Balsam', 'John Fiedler']",['Sidney Lumet'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/03/4063.jpg
Hayat Güzeldir,"Hayat Güzeldir'de, başkahramanımız hayat dolu Guido’nun güzeller güzeli öğretmen Dora’ya vurulur ve tüm engellere rağmen evlenirler. Ardından bir de çocuk sahibi olan çiftin hayatlarındaki tüm pürüzler ortadan kalktığında savaş patlak verir. Yahudi oldukları için toplama kampına götürüldüklerinde Guido, oğluna esir kampının ve savaşın bir oyun olarak söyleyecek; oğlu, oyunu başarıyla tamamlarsa ödül olarak çok istediği bir oyuncak tankı hediye edecektir. İkinci Dünya Savaşı’nın sivillerin üzerindeki yıkıcı etkisini beyaz perdeye en iyi uyarlayan filmlerden biri olan Hayat Güzeldir, tüm olumsuzluklara rağmen her daim bir umut ışığı olduğunu adında olduğu gibi, içeriğinde de barındırıyor. Gösterime girdiği dönem büyük ses getiren film Akademi’nin de büyük ilgisine nail olup, En İyi Yabancı Film, En İyi Erkek Oyuncu ve En İyi Müzik olmak üzere üç dalda Oscar ödülü kazanmıştı.","['Dram', 'Komedi']",26 Şubat 1999,"['Roberto Benigni', 'Horst Buchholz', 'Marisa Paredes']",['Roberto Benigni'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/01/64439.jpg
